id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,departmentId,departmentName,managerId,locationId
28,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,10.0,Administration,200,1700.0
29,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,20.0,Marketing,201,1800.0
30,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,30.0,Purchasing,114,1700.0
31,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,40.0,Human Resources,203,2400.0
32,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,50.0,Shipping,121,1500.0
33,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,60.0,IT,103,1400.0
34,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,70.0,Public Relations,204,2700.0
35,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,80.0,Sales,145,2500.0
36,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,90.0,Executive,100,1700.0
37,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,100.0,Finance,108,1700.0
38,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,110.0,Accounting,205,1700.0
39,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,120.0,Treasury,- ,1700.0
40,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,130.0,Corporate Tax,- ,1700.0
41,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,140.0,Control And Credit,- ,1700.0
42,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,150.0,Shareholder Services,- ,1700.0
43,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,160.0,Benefits,- ,1700.0
44,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,170.0,Manufacturing,- ,1700.0
45,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,180.0,Construction,- ,1700.0
46,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,190.0,Contracting,- ,1700.0
47,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,200.0,Operations,- ,1700.0
48,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,210.0,IT Support,- ,1700.0
49,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,220.0,NOC,- ,1700.0
50,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,230.0,IT Helpdesk,- ,1700.0
51,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,240.0,Government Sales,- ,1700.0
52,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,250.0,Retail Sales,- ,1700.0
53,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,260.0,Recruiting,- ,1700.0
54,2023-04-17T11:29:19.501,2023-04-17T11:29:19.501,satishkumar11@kpmg.com,satishkumar11@kpmg.com,270.0,Payroll,- ,1700.0
